"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue"
"129-048","129",0.257541488022638,0.207227692752533,0.164996991918366,0.370233827306462,165.94933844776,0.187444614917066,5.76682704115414,330.414850640048,60.4148506400485
"129-049","129",0.256860555432711,0.169875380760983,0.140873462402283,0.432390601404023,132.827433740413,0.286996945661297,5.86714631244185,336.162721488662,66.1627214886621
"129-005","129",0.17074590641768,0.0792184663387686,0.155590119001253,0.594445508242298,115.517977648403,0.515449903095222,6.25377804186093,358.315087810219,88.3150878102193
"129-050","129",0.229658719070643,0.14040775288099,0.133461840210897,0.49647168783747,124.671274448522,0.368829723963577,6.01931742394033,344.88148394134,74.8814839413396
"129-051","129",0.247605628221621,0.169417770060028,0.146008735816954,0.436967865901397,139.497483714793,0.286190465129451,5.92027394114734,339.206710389025,69.2067103890251
"129-052A","129",0.198242798726351,0.114406528473172,0.173875472087204,0.513475200713272,132.306132179178,0.399811920496394,6.22220053858346,356.50583014486,86.50583014486
"129-052B","129",0.173386895916083,0.0891547365369323,0.155449063852725,0.58200930369426,119.984642900065,0.493180889924751,6.24680557353027,357.915594802084,87.9155948020841
"129-053A","129",0.230205373113206,0.129106510689915,0.188471398072777,0.452216718124101,151.553773207817,0.325794307532894,6.15473320282659,352.640236550999,82.6402365509995
"129-053B","129",0.225610792555184,0.14481410427857,0.193534068222341,0.436041034943905,148.812445862903,0.292988124996009,6.17348409695021,353.714583646379,83.7145836463794
"129-054A","129",0.210265991181211,0.120894498741606,0.183734180315839,0.485105329761344,139.165971482865,0.365175938993637,6.21046636260541,355.833511385254,85.8335113852539
"129-054B","129",0.20234710643081,0.113916428309227,0.174085340898266,0.509651124361697,137.160787576946,0.39674258285538,6.21189040915371,355.915103242302,85.9151032423018
"129-055A","129",0.201430082178743,0.100759337233458,0.170532107689326,0.527278472898473,129.705607944044,0.42763682946629,6.21086945554485,355.856606909435,85.8566069094353
"129-055B","129",0.194404871057413,0.0931158064120465,0.169584296772783,0.542895025757758,128.616495644514,0.450463546874835,6.22805731528815,356.841398731589,86.8413987315895
"129-056A","129",0.205938472263191,0.126353799988323,0.186942234759561,0.480765492988925,148.268319600494,0.354920420904247,6.22963719406646,356.931919117729,86.9319191177285
"129-056B","129",0.189029161793041,0.114367167914371,0.176227164657352,0.520376505635235,133.421410226637,0.406211119305217,6.25166446319969,358.193988673262,88.1939886732616
"129-057A","129",0.137370975666955,0.0644508106168071,0.138357682847455,0.659820530868782,103.288360120904,0.5953705378871,0.00165730006671641,0.0949562992096001,90.0949562992096
"129-057B","129",0.15474294931327,0.0765248077002481,0.149686774781766,0.619045468204717,108.184133695591,0.542544221216204,6.27386579454737,359.466031259055,89.4660312590552
"129-058A","129",0.189095257382968,0.0978114466613404,0.171272449595626,0.541820846360066,125.872310397939,0.444366964904286,6.24306623627681,357.701346559285,87.7013465592845
"129-058B","129",0.168937798514845,0.0875976536725321,0.161066483270296,0.582398064542326,118.266862390973,0.494863015591786,6.26727858765401,359.088612105286,89.0886121052861
"129-059A","129",0.202816728443233,0.0899427023126904,0.175951409113096,0.53128916013098,128.437368041614,0.442163364845462,6.22238905296729,356.516631223431,86.5166312234308
"129-059B","129",0.202321001114829,0.0908418466381108,0.17552118380425,0.53131596844281,132.586981986797,0.441288660841746,6.22241710468747,356.518238468605,86.5182384686053
"129-060A","129",0.184400752305479,0.0926087684034381,0.160521261995074,0.562469217296009,119.147738778728,0.470466865454957,6.23240648018716,357.090587524709,87.0905875247088
"129-060B","129",0.202480503497385,0.109812239494192,0.173444022091787,0.514263234916635,132.114287378868,0.405491954236607,6.21151593458421,355.893647429934,85.8936474299342
"129-061A","129",0.165713081663985,0.0768521057343788,0.147369650798779,0.610065161802857,111.600599422638,0.533528485291828,6.24879717760977,358.0297053103,88.0297053103004
"129-061B","129",0.22556509447702,0.123163529699788,0.177883647678678,0.473387728144513,148.126929695859,0.353455102587349,6.14787175868003,352.247104760037,82.2471047600367
"129-062A","129",0.213058470318461,0.10709518606037,0.177377900840462,0.502468442780708,137.304673563797,0.396979993410148,6.19318383108172,354.843295269645,84.8432952696449
"129-062B","129",0.175799444156123,0.0918719033158306,0.164334762122719,0.567993890405327,120.425901612417,0.476259997820705,6.25911066386086,358.620624544554,88.6206245445543
"129-063A","129",0.189172105680376,0.0861789577770606,0.163819084157171,0.560829852385392,121.943158535037,0.475327515985394,6.22982197894323,356.942506511285,86.9425065112853
"129-063B","129",0.183572536336251,0.0969041088183097,0.158603819729328,0.560919535116111,118.104667487407,0.464686725279868,6.22942705308295,356.919878926271,86.919878926271
"129-064A","129",0.201012405216934,0.110578984238605,0.176822426509579,0.511586184034882,135.807978276856,0.40173614395311,6.22293526375588,356.547926796341,86.5479267963415
"129-064B","129",0.188335044666485,0.107021278899897,0.173959149894486,0.530684526539133,128.827277264093,0.423907081505747,6.24926595928403,358.056564521749,88.0565645217489
"129-065A","129",0.214119050064387,0.12603697710176,0.182021497749382,0.477822475084471,146.542916124304,0.353246782654221,6.19219541898296,354.786663427966,84.7866634279662
"129-065B","129",0.205706137757517,0.122333897756725,0.178056217207717,0.493903747278042,140.814563863602,0.372597196956317,6.2089084164454,355.744247645577,85.744247645577
"129-066A","129",0.175141499550602,0.0865188342989455,0.15881043387534,0.579529232275113,118.683311984909,0.493280808686805,6.2500722198511,358.102759849429,88.1027598494294
"129-066B","129",0.183244852258971,0.0859571693778203,0.159661527857589,0.571136450505619,119.502028403969,0.485752105528641,6.234616091031,357.217188900428,87.2171889004276
"129-067A","129",0.184032364778958,0.0943693971337057,0.168515697644937,0.553082540442399,121.409889110746,0.458975505667884,6.24937168489332,358.062622152948,88.0626221529477
"129-067B","129",0.196848528962364,0.0913026538384298,0.172675155111904,0.539173662087302,129.73640854986,0.448522900232725,6.22926366348488,356.910517391885,86.9105173918852
"129-068A","129",0.168900681349273,0.0692103741365535,0.147628241752995,0.614260702761178,106.887218050158,0.545465285256714,6.24417671016996,357.764972026622,87.764972026622
"129-068B","129",0.185229056918551,0.0919433039042108,0.168046615777055,0.554781023400183,121.621158006467,0.463156551148544,6.24607823200902,357.873921202652,87.8739212026518
"129-069A","129",0.156958006634898,0.067380469963133,0.14518731616667,0.630474207235299,106.373823132049,0.563216748782592,6.26228474356984,358.802485915717,88.8024859157169
"129-069B","129",0.201403554646185,0.0946461836791501,0.166976813332701,0.536973448341964,126.405321509611,0.443664974481368,6.20551096842288,355.549588212771,85.5495882127714
"129-006A","129",0.194222739191252,0.0971860778748981,0.141083037932306,0.567508145001544,113.669245405051,0.473314562079144,6.17067667111581,353.553729994772,83.5537299947721
"129-006B","129",0.178212076160932,0.0807165722201498,0.124281163624372,0.616790187994547,99.7359541576494,0.538779606941894,6.1829191093243,354.255170035069,84.2551700350686
"129-070A","129",0.172547189291421,0.081420126752775,0.16572988263249,0.580302801323315,118.88563579583,0.498929252155791,6.26952100752022,359.217093299516,89.2170932995163
"129-070B","129",0.182465842306887,0.0853362061172997,0.160583458475352,0.571614493100462,119.185529575995,0.486770388492798,6.23821593076389,357.423444524045,87.4234445240455
"129-071A","129",0.163090356264628,0.0760100554898643,0.162098864939433,0.598800723306075,115.347111416594,0.522791608014864,6.28128877344723,359.891336621432,89.8913366214315
"129-071B","129",0.16066152375395,0.0704134895662165,0.146175284540387,0.622749702139447,104.861837730239,0.552526146753521,6.25696410581648,358.497635828131,88.4976358281311
"129-072A","129",0.225138284858653,0.174730886641769,0.205096608555552,0.395034219944026,181.902507713181,0.221213081559666,6.19246193982559,354.801933947401,84.801933947401
"129-072B","129",0.216116060421437,0.151692055390346,0.194805672141165,0.437386212047052,158.837490854579,0.286487842318732,6.20873157340723,355.734115285853,85.7341152858531
"129-073A","129",0.191337043385337,0.107314391721825,0.180367463095254,0.520981101797584,130.423407104018,0.413812129735997,6.25667360140881,358.480991151642,88.4809911516417
"129-073B","129",0.182261071624934,0.0927572956139767,0.166334694334666,0.558646938426424,121.75137105644,0.46616178390501,6.24901374316503,358.042113602605,88.0421136026046
"129-074A","129",0.187847536355246,0.088075977479903,0.157749026402251,0.5663274597626,118.831047757864,0.479197663398923,6.22033371615521,356.398869098621,86.3988690986207
"129-074B","129",0.18611956173402,0.0971260667002541,0.158214781033704,0.558539590532022,122.691450350099,0.462256548640235,6.22278214656526,356.539153827548,86.5391538275483
"129-075A","129",0.21414059311729,0.108183922270855,0.186236561891491,0.491438922720364,144.213819923818,0.384269476185923,6.21050554839342,355.835756565524,85.8357565655239
"129-075B","129",0.205489896333463,0.0949245355202007,0.1798172076936,0.519768360452737,133.812318297166,0.425618799544037,6.2228301682754,356.541905268864,86.5419052688644
"129-076A","129",0.185476111954285,0.0962902922636731,0.167794629353034,0.550438966429008,124.757341353171,0.454492742596743,6.24427171374095,357.770415330278,87.7704153302784
"129-076B","129",0.18610642587955,0.0883313397373953,0.159849915139395,0.56571231924366,118.674590703957,0.478102503602113,6.22823950208611,356.851837266196,86.8518372661956
"129-077A","129",0.198637742131575,0.0948318048340039,0.169537494778134,0.536992958256287,127.674511451751,0.443117715727723,6.21746641561826,356.234584879258,86.2345848792582
"129-077B","129",0.191134512127048,0.0856386103692858,0.166664059064009,0.556562818439658,124.275030353426,0.47155955384216,6.23126938541475,357.025436793344,87.0254367933438
"129-078A","129",0.180010558393298,0.0951676207903131,0.155824903677726,0.568996917138663,118.117809826032,0.474446148653346,6.23218659654085,357.077989119791,87.0779891197913
"129-078B","129",0.181844196149662,0.0998061222827522,0.163508023176961,0.554841658390624,123.615319315544,0.455404824700248,6.24291096254234,357.692450029631,87.6924500296306
"129-079A","129",0.186798214737332,0.0911306533579386,0.164910060412036,0.557161071492694,121.760018109302,0.466544147885946,6.23625257438599,357.310952489911,87.3109524899114
"129-079B","129",0.17048232697875,0.0771789198386116,0.157128035117961,0.595210718064677,112.756662328033,0.518203899140516,6.25741211163657,358.52330467082,88.5233046708198
"129-007A","129",0.155354575526408,0.0822097472447272,0.166450971541617,0.595984705687248,114.336336400183,0.51389477320473,0.0215944178664397,1.2372690047889,91.2372690047889
"129-007B","129",0.144327052682426,0.0668960490552083,0.143988387529889,0.644788510732477,101.86321588362,0.57789256091206,6.28259927234394,359.96642267727,89.9664226772699
"129-008","129",0.178615760675059,0.0871016449740459,0.165370033605715,0.56891256074518,119.608812362705,0.481992954141256,6.25570068370213,358.425247073236,88.4252470732355
"129-080A","129",0.167710673751251,0.0731900428010828,0.148930870259149,0.610168413188517,111.683552622793,0.537306664097093,6.24822644570528,357.99700478094,87.9970047809396
"129-080B","129",0.19564854830233,0.0882859657740078,0.160661637493699,0.555403848429963,119.769568883835,0.468426301807353,6.20842536622679,355.716570906758,85.7165709067576
"129-081A","129",0.241086125390812,0.131585886655896,0.13462120135006,0.492706786603232,119.071240761842,0.376487827731226,5.99648943980926,343.573536795838,73.5735367958379
