"pop","ID","long_stamen_length","short_stamen_length","pistil_length","nectary_area_1","nectary_area_2","floral_tube_length","crease_to_top_height","crease_to_bottom_height","tube_height_at_base","tube_height_at_inflection","mouth_angle","platform_angle","upper_petal_angle","tube_width_at_mouth","tube_width_at_base","lower_petal_angle","tube_height_at_mouth","mouth_constriction_angle","stamen_length_ratio","longstamen_pistil_ratio","longstamen_tube_ratio","pistil_tube_ratio","floral_crease_ratio","mouth_height_width_ratio","throat_inflation_ratio"
129,"129-031B",NA,NA,31.439,0.82,0.797,26.541,5.035,1.661,3.013,NA,75.775,49.795,138.404,6.416,4.95,145.821,6.696,-25.98,NA,NA,NA,1.18454466674202,3.03130644190247,1.04364089775561,NA
129,"129-056B",26.103,24.816,26.908,1.449,1.639,19.4,3.662,1.359,1.769,2.755,53.525,40.52,145.437,5.65,3.543,161.038,5.021,-13.005,1.05186170212766,0.970083246618106,1.34551546391753,1.38701030927835,2.69462840323767,0.888672566371681,1.55737704918033
129,"129-072A",28.181,24.181,26.826,1.397,1.162,22.721,4.194,1.806,2.188,3.501,55.752,47.135,147.935,5.835,2.56,156.313,6,-8.617,1.16541913072247,1.05051069857601,1.24030632454557,1.18066986488271,2.32225913621262,1.02827763496144,1.60009140767824
129,"129-072B",28.589,24.85,26.843,1.59,1.443,22.289,3.409,1.814,1.626,3.207,35.197,35.197,150.348,6.111,2.705,174.455,5.223,0,1.15046277665996,1.06504489066051,1.2826506348423,1.20431603032886,1.87927232635061,0.854688267059401,1.97232472324723
129,"129-071A",27.749,24.765,25.773,2.183,1.789,20.324,3.084,2.212,1.994,3.595,52.708,52.708,151.298,5.327,2.593,155.994,5.295,0,1.12049263072885,1.07666938268731,1.36533162763236,1.26810667191498,1.39421338155515,0.993992866529003,1.80290872617854
129,"129-071B",26.779,23.754,28.355,2.131,2.223,19.571,3.204,2.5,1.652,3.219,36.643,36.643,156.793,5.587,2.948,166.564,5.704,0,1.12734697314137,0.944418973725974,1.36830003576721,1.44882734658423,1.2816,1.0209414712726,1.94854721549637
129,"129-063A",25.83,22.108,26.521,1.925,1.78,19.788,3.274,2.823,2.249,3.207,45.629,45.629,151.528,6.148,2.981,162.843,6.097,0,1.16835534648091,0.973945175521285,1.30533656761674,1.3402567212452,1.15975912150195,0.991704619388419,1.42596709648733
129,"129-063B",25.555,21.68,25.683,1.866,1.928,18.453,3.069,2.509,2.35,2.914,45.597,45.597,153.653,6.738,3.13,160.75,5.577,0,1.17873616236162,0.995016158548456,1.38486966888853,1.3918062103723,1.22319649262654,0.827693677649154,1.24
129,"129-067A",26.16,21.456,26.553,1.879,1.665,18.571,3.65,1.752,1.743,2.669,81.929,64.568,138.631,5.094,2.616,139.44,5.402,-17.361,1.21923937360179,0.985199412495763,1.40864789187443,1.42980991869043,2.08333333333333,1.06046329014527,1.53126792885829
129,"129-067B",26.021,22.629,26.64,1.429,1.619,19.089,3.908,1.735,1.819,3.196,77.388,62.773,145.239,5.481,2.588,137.373,5.642,-14.615,1.14989615095674,0.976764264264264,1.36314107601236,1.3955681282414,2.25244956772334,1.02937420178799,1.75700934579439
