"newID","pop","avg_long_stamen_length","avg_short_stamen_length","avg_pistil_length","avg_floral_tube_length","avg_crease_to_top_height","avg_crease_to_bottom_height","avg_tube_height_at_base","avg_tube_height_at_inflection","avg_mouth_angle","avg_platform_angle","avg_upper_petal_angle","avg_tube_width_at_mouth","avg_tube_width_at_base","avg_lower_petal_angle","avg_tube_height_at_mouth","avg_mouth_constriction_angle","avg_stamen_length_ratio","avg_longstamen_pistil_ratio","avg_longstamen_tube_ratio","avg_pistil_tube_ratio","avg_floral_crease_ratio","avg_mouth_height_width_ratio","avg_throat_inflation_ratio","avg_nectary_area","total_brightness","chroma","modified_hue","K1","K2","rgb","region","subpopulation","class"
"129-049",129,28.07,22.754,32.837,23.83,5.594,1.637,3.813,4.748,51.398,24.84,149.632,7.624,3.595,158.97,7.231,-26.558,1.23362925199965,0.85482839479855,1.1779269827948,1.37796894670583,3.41722663408674,0.948452256033578,1.24521374246001,0.9445,131.420869056707,0.290068602172142,66.1627214886621,NA,NA,"#AB7BB6FF","sierras",NA,NA
"129-050",129,28.185,23.573,30.5,26.352,6.22,2.358,3.049,4.748,51.691,30.714,164.012,7.261,4.19,144.297,8.578,-20.977,1.19564756288975,0.924098360655738,1.06955828779599,1.15740740740741,2.63782866836302,1.18137997521003,1.55723187930469,0.816,125.119050057354,0.36750975746665,74.8814839413396,1e-05,0.99999,"#B26AAAFF","sierras","davidsonii_virginialakes","davidsonii"
"129-051",129,NA,21.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986,137.749792061532,0.289821488303164,69.2067103890251,1e-05,0.99999,"#B47DB9FF","sierras","davidsonii_virginialakes","davidsonii"
"129-052",129,25.247,23.76,28.5935,18.027,3.0845,2.083,1.8365,3.642,39.1525,39.1525,144.4875,5.635,3.582,176.36,5.1675,0,1.0625449216976,0.882981860036631,1.40132359036075,1.58664640943978,1.4902298717854,0.91870291008345,1.98284961126299,2.22466666666667,125.060588080139,0.458955265417573,87.2754515813972,0.99999,1e-05,"#CF5299FF","sierras","newberryi_virginialakes","newberryi"
"129-053",129,26.825,23.215,27.2565,20.4665,3.438,1.7275,1.939,2.6615,40.172,40.172,158.162,5.365,2.5965,161.666,5.1655,0,1.15533492258878,0.983950639654985,1.3106151887772,1.33173772832366,2.00789943989665,0.96528984171042,1.37878244865427,1.7185,152.171459603045,0.316375311864509,83.0700846095265,0.964253,0.035747,"#DF75B5FF","sierras","hybrids_virginialakes","hybrid"
"129-054",129,26.0045,23.2715,26.4835,19.269,3.509,1.5865,1.8075,3.2335,59.2965,45.9375,148.096,5.0365,2.701,152.6075,5.0955,-13.359,1.11741242855267,0.982054672673243,1.34959285358442,1.37447440273095,2.21208886780519,1.01178588394376,1.80313988041961,1.701,134.880694828375,0.390871539729545,85.8780136095249,NA,NA,"#D661A7FF","sierras",NA,NA
"129-055",129,28.797,25.0865,29.193,19.81,3.3145,1.811,1.947,3.031,47.416,37.3,156.3055,5.041,2.9775,156.279,5.125,-10.1155,1.14773636845776,0.986296531517535,1.45407748848753,1.47395950334293,1.84919431571019,1.01687939397834,1.47493917274939,1.74025,128.512366472908,0.447167656549799,86.3977170617828,0.99999,1e-05,"#D4519FFF","sierras","newberryi_virginialakes","newberryi"
"129-056",129,26.019,23.9005,26.9395,19.274,3.68,1.4575,1.852,2.9,48.4055,41.903,143.873,5.883,3.59,167.7215,5.1375,-6.5025,1.09010313733749,0.965835809657353,1.34998250739223,1.39778236374718,2.53561754352115,0.873865387175376,1.56551023001652,1.7505,139.356743990353,0.383476397480765,87.5592788682874,NA,NA,"#D966A8FF","sierras",NA,NA
"129-057",129,26.0285,21.9885,25.179,18.487,3.613,1.452,1.727,2.695,43.9215,43.9215,149.2315,5.65,3.0285,166.8465,5.065,0,1.18362758584554,1.03364556277474,1.40784705434175,1.36194740575917,2.48792348671818,0.897789249348062,1.56328220715659,1.248,102.746319601435,0.584918851201389,89.7846701869785,0.993132,0.006868,"#C0337DFF","sierras","hybrids_virginialakes","hybrid"
"129-058",129,26.6165,23.683,26.3125,20.29,3.625,1.536,1.8815,2.4675,69.632,46.364,153.2195,6.4035,3.017,137.149,5.161,-23.2685,1.12384117798062,1.01154823282182,1.31192513791977,1.29686989484068,2.36021429674127,0.807324172873894,1.32071712187779,1.7995,122.238711952787,0.478055176742379,88.4424297637015,NA,NA,"#D04C96FF","sierras",NA,NA
"129-059",129,26.543,24.002,28.573,19.981,3.3725,1.39,1.6095,3.0765,65.3785,52.6575,138.853,5.7005,3.1435,155.7685,4.7625,-12.7215,1.10593103777108,0.928898601511903,1.32840208615545,1.43038209822766,2.45538157689232,0.837451048268124,1.91614824711564,0.91825,133.408560463372,0.44224804564123,86.5174629400418,0.99999,1e-05,"#DA52A1FF","sierras","newberryi_virginialakes","newberryi"
"129-060",129,27.0385,24.74,28.0035,20.4535,3.268,1.296,1.4145,3.6475,31.7765,31.7765,149.2875,4.97,2.738,178.9365,4.564,0,1.09291275849879,0.965564900493073,1.32222928617812,1.36945900100363,2.52167024786155,0.918441467201642,2.57839794397512,1.07575,126.275507447634,0.441033197690054,86.4621600323317,NA,NA,"#D0549DFF","sierras",NA,NA
"129-061",129,27.854,24.702,26.32,20.0795,2.801,1.681,1.8525,3.472,70.8215,59.7385,149.413,5.535,2.544,139.7655,4.482,-11.0825,1.1276470618121,1.05833206688681,1.38736268127631,1.31104836486276,1.70018892930055,0.80962907287877,1.88094643629948,0.88775,125.84913361011,0.446948679367288,85.6179884757551,0.99999,1e-05,"#CE549CFF","sierras","newberryi_virginialakes","newberryi"
"129-062",129,27.0965,23.4965,28.2065,20.0165,3.507,1.5105,1.916,3.387,75.5685,62.377,143.657,5.7305,2.913,140.775,5.018,-13.1915,1.15344169236117,0.96133119327026,1.35425631125,1.4099949112757,2.34352782642065,0.877283738433393,1.76842387881817,0.9345,131.329464326536,0.431398436034104,86.6580682925264,0.99999,1e-05,"#D558A0FF","sierras","newberryi_virginialakes","newberryi"
"129-063",129,25.6925,21.894,26.102,19.1205,3.1715,2.666,2.2995,3.0605,45.613,45.613,152.5905,6.443,3.0555,161.7965,5.837,0,1.17354575442127,0.98448066703487,1.34510311825263,1.36603146580875,1.19147780706425,0.909699148518787,1.33298354824366,1.87475,123.862203461647,0.457303336855983,86.9301990638351,NA,NA,"#CE5498FF","sierras",NA,NA
"129-064",129,25.602,22.0505,26.022,20.3145,3.6515,1.5625,1.8535,2.848,77.5775,54.435,139.451,6.2045,2.8505,142.9725,5.214,-23.1425,1.16106096716971,0.983970757179638,1.26028866751555,1.28092014942999,2.33343007740346,0.844554775533153,1.5362764036793,1.326,131.666864222682,0.416630092224781,87.3053469502439,0.933455,0.066545,"#D55CA1FF","sierras","hybrids_virginialakes","hybrid"
