pop	ID	floral_tube_length	crease_to_top_height	crease_to_bottom_height	tube_height_at_base	tube_height_at_inflection	mouth_angle	platform_angle	upper_petal_angle	tube_width_at_mouth	tube_width_at_base	lower_petal_angle	tube_height_at_mouth	mouth_constriction_angle
132	132-041B	24.39	5.838	1.675	2.812	4.337	57.772	28.047	146.831	8.019	3.245	155.397	7.513	-29.725
132	132-057A	21.194	3.397	1.238	1.932	3.029	34.777	29.538	157.899	4.864	2.739	167.323	4.634	-5.239
132	132-057B	20.759	4.061	0.967	1.662	2.897	37.565	37.565	149.962	5.189	2.579	172.473	5.028	0
132	132-052A	21.009	3.801	2.254	2.082	2.593	76.841	76.841	142.94	5.149	2.825	140.219	6.055	0
132	132-052B	20.579	3.044	2.164	1.765	2.745	72.835	72.835	132.343	5.45	2.907	154.822	5.208	0
132	132-039A	21.489	3.48	1.663	2.055	3.033	81.867	46.041	150.84	5.152	3.246	127.293	5.142	-35.825
132	132-039B	21.163	4.479	1.33	1.785	2.826	83.101	37.877	144.145	4.902	2.875	132.754	5.809	-45.224
132	132-079A	21.286	3.614	1.927	2.068	3.06	57.978	40.302	157.928	6.347	2.955	144.094	5.542	-17.676
132	132-079B	20.933	4.313	1.261	2.597	3.818	28.488	16.905	163.767	5.909	2.906	167.745	5.573	-11.583
132	132-034A	18.19	2.267	2.799	2.122	3.468	56.404	56.404	150.57	6.462	3.367	153.026	5.067	0
132	132-034B	20.405	3.66	3.457	2.547	4.239	34.872	34.872	155.588	6.116	2.935	169.54	7.117	0
132	132-046A	21.933	3.728	2.046	2.122	3.417	83.46	56.518	143.337	6.003	3.312	133.204	5.774	-26.942
132	132-046B	21.173	4.419	1.114	1.897	2.876	74.586	35.239	149.845	5.457	3.573	135.569	5.534	-39.347
132	132-036A	23.082	3.135	2.033	1.807	3.686	55.146	55.146	155.937	5.829	3.321	148.917	5.168	0
132	132-036B	21.07	3.575	1.475	1.796	3.231	52.843	52.843	142.908	5.517	3.138	164.249	5.05	0
132	132-024A	23.278	4.661	2.186	2.689	4.252	53.948	27.109	154.083	7.923	2.839	151.97	6.847	-26.838
132	132-024B	22.095	5.601	1.874	2.297	4.177	53.003	21.131	155.503	6.82	3.128	151.495	7.474	-31.872
132	132-021A	22.096	5.058	2.204	2.867	3.68	83.931	50.399	127.057	6.774	2.744	149.012	7.262	-33.532
132	132-021B	22.812	5.649	2.707	3.245	4.127	84.848	57.154	139.736	7.996	3.251	135.416	8.356	-27.694
132	132-031A	22.342	4.892	2.308	2.956	4.332	32.189	32.189	151.702	7.671	4.193	176.109	7.2	0
132	132-031B	22.208	3.208	2.252	2.487	3.81	46.733	37.207	159.911	8.296	3.777	153.356	5.461	-9.527
132	132-047A	21.819	3.436	2.948	2.254	4.116	47.181	47.181	149.465	6.466	3.109	163.355	6.383	0
132	132-047B	21.729	4.475	1.517	2.117	3.837	68.071	35.03	155.323	5.359	2.735	136.606	5.992	-33.041
132	132-068A	22.579	3.877	1.712	2.294	3.929	30.679	30.679	151.451	6.641	2.639	177.87	5.589	0
132	132-068B	22.075	4.628	1.775	2.161	3.343	69.053	69.053	123.373	6.789	2.945	167.574	6.403	0
132	132-037A	21.172	4.035	2.087	2.799	3.974	55.821	38.672	153.135	6.637	3.434	151.044	6.121	-17.149
132	132-037B	21.37	3.179	2.271	2.438	3.661	43.501	33.051	156.456	6.692	3.115	160.044	5.45	-10.45
132	132-049A	20.889	3.068	2.294	1.958	3.502	41.736	41.736	156.314	5.934	2.804	161.95	5.362	0
132	132-049B	20.72	4.178	1.83	2.114	3.393	44.105	34.988	159.394	5.64	2.974	156.501	6.008	-9.117
