pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
132	132-055A	26.176	23.300	27.738	1.267	0.866
132	132-055B	26.026	23.105	27.712	1.625	1.435
132	132-078A	26.390	23.267	23.333	0.947	1.161
132	132-078B	26.779	23.259	24.886	1.340	1.203
132	132-071A	24.180	20.549	25.986	0.905	0.719
132	132-071B	24.221	20.155	26.693	0.961	0.843
132	132-073A	26.864	23.599	27.953	1.194	1.443
132	132-073B	26.796	23.386	26.786	1.696	1.209
132	132-061A	26.884	25.163	28.354	1.017	1.173
132	132-061B	29.963	24.799	29.242	1.290	1.090
132	132-074A	22.749	20.142	23.818	1.526	1.265
132	132-074B	23.708	20.838	25.100	1.332	NA
132	132-045A	26.219	22.930	24.811	1.176	1.011
132	132-045B	26.130	22.619	24.247	1.110	1.197
132	132-056A	26.338	22.978	29.003	1.299	0.823
132	132-056B	26.089	21.986	29.204	1.002	1.030
132	132-064A	25.402	22.904	25.459	1.489	1.387
132	132-064B	25.439	22.080	25.948	1.262	1.234
132	132-065A	24.341	21.984	21.486	0.718	0.855
132	132-065B	25.131	23.222	22.441	0.681	0.613
132	132-041A	26.134	22.813	29.840	1.357	1.121
132	132-041B	26.095	23.033	29.026	1.199	0.786
132	132-057A	25.861	21.858	27.824	1.381	1.315
132	132-057B	25.763	21.881	27.349	1.501	1.232
132	132-052A	26.033	24.141	30.082	1.317	1.252
132	132-052B	25.506	22.511	28.016	1.363	1.064
132	132-039A	28.002	23.054	31.694	1.275	1.531
132	132-039B	26.592	22.562	30.205	1.391	1.112
132	132-079A	25.273	22.737	26.562	1.051	0.741
132	132-079B	24.882	21.576	NA	1.188	1.122
132	132-034A	24.093	21.598	31.079	1.369	1.571
132	132-034B	26.892	22.832	31.062	1.776	1.769
132	132-046A	27.627	24.156	29.910	1.221	1.251
132	132-046B	26.745	23.826	26.405	1.222	1.085
132	132-036A	NA	26.054	35.144	1.309	1.062
132	132-036B	26.101	21.838	30.278	1.302	NA
132	132-024A	26.120	22.542	26.410	0.940	0.936
132	132-024B	25.948	21.374	30.172	0.904	0.786
132	132-021A	25.677	21.000	27.618	1.059	0.910
132	132-021B	26.442	21.255	26.616	1.475	1.303
132	132-031A	29.411	24.732	28.729	1.634	1.754
132	132-031B	29.556	24.751	29.905	1.512	1.888
132	132-047A	28.625	23.606	30.925	1.023	0.866
132	132-047B	27.547	22.930	30.370	0.885	0.688
132	132-068A	28.565	24.138	27.364	1.062	1.065
132	132-068B	28.841	24.292	27.896	0.802	0.945
132	132-037A	28.360	23.456	31.844	1.765	1.465
132	132-037B	28.403	24.222	30.910	1.804	1.705
132	132-049A	27.050	23.596	24.750	1.290	0.997
132	132-049B	27.660	24.229	26.533	1.391	1.283
132	132-053A	25.250	22.790	28.265	1.437	1.261
132	132-053B	24.377	19.473	28.631	1.166	1.118
132	132-032A	25.074	21.183	26.262	1.180	0.945
132	132-032B	24.689	21.099	26.137	1.016	1.011
132	132-038A	NA	23.799	30.082	1.508	1.446
132	132-038B	27.548	24.274	30.520	1.520	1.629
132	132-011A	27.678	22.876	32.427	1.186	0.982
132	132-011B	26.101	21.832	30.659	1.015	1.140
132	132-048A	25.119	21.155	27.390	1.441	1.496
132	132-048B	26.417	22.472	28.318	1.635	1.622
132	132-029A	26.421	22.340	29.977	0.852	1.043
132	132-029B	26.788	22.005	29.695	0.928	0.945
132	132-050A	25.291	21.213	26.136	1.268	1.284
132	132-050B	25.568	21.755	26.810	1.518	1.567
132	132-013A	27.985	23.094	34.441	1.079	1.270
132	132-013B	27.117	22.550	33.887	1.447	1.319
132	132-027A	27.710	24.779	29.614	0.964	0.855
132	132-027B	27.658	23.439	29.839	1.312	1.249
132	132-028A	27.338	22.851	27.427	1.123	1.347
132	132-028B	28.504	23.605	29.499	1.587	1.570
132	132-026A	24.339	19.429	28.981	1.309	1.331
132	132-026B	24.991	19.968	29.850	1.145	1.188
